query,tweet_id,created_at,text,like_count,retweet_count
anyone else app lang:en -is:retweet,2039779253307179428,2026-04-02T18:57:25.000Z,@TraderLi When I went to the app my computer melted down.  Anyone else.?,0,0
anyone else app lang:en -is:retweet,2039772315244797963,2026-04-02T18:29:51.000Z,user experience design is just a euphemism for 'making sure the thing doesn't drive me too far to therapy' anyone else have a love-hate relationship with their favorite productivity app?,0,0
anyone else app lang:en -is:retweet,2039771597167321130,2026-04-02T18:27:00.000Z,"@DailyLoud yall saying she only did it bc he was live-streaming like no shit dimwits, how else would anyone know stole the fucking money. yall prove everyday majority of the people on this app uses less than 10% of the brain only a daily basis.",2,0
anyone else app lang:en -is:retweet,2039767311079313440,2026-04-02T18:09:58.000Z,"@TessieApp Undocumented but the tron lock sound is now back to  nearer how it was before. 
Was muted on last update. 
Can hear it now 💚

Just the app that needs an update. Anyone else got a white model s appearing when flicking between products ?",0,0
anyone else app lang:en -is:retweet,2039761502773600674,2026-04-02T17:46:53.000Z,@Aameridoll ay on the real though because i dont think anyone else is gonna tell you this so i will; you need to wash your ass like genuinely. you been on this app typing for hours my nigga and you most likely smell like shit. get up and wash your ass now,1,0
anyone else app lang:en -is:retweet,2039760258021626341,2026-04-02T17:41:57.000Z,"Does anyone else find this change frustrating on @Apple latest update. 

App update within the AppStore. For years I’ve pulled down the top, to have the app updates appear. Now you need to go to the update section. The amount of times I’ve pulled down and end up closing the menu. https://t.co/EnevedHxtW",0,0
anyone else app lang:en -is:retweet,2039756151777030375,2026-04-02T17:25:38.000Z,Is anyone else having issues where the X mobile app feed does not refresh?,0,0
anyone else app lang:en -is:retweet,2039751189789557242,2026-04-02T17:05:55.000Z,@Barclaycard  Is anyone else in UK having problems with the Barclaycard App when trying to make payment? The page you are directed to for payments allows you to enter your payment details then nothing. Goes to a blank page which does nothing. Unable to make payment.,0,0
anyone else app lang:en -is:retweet,2039745452875141552,2026-04-02T16:43:07.000Z,"My first prompt in the Cursor app always takes over 30 minutes to process. Does anyone else have a similar experience? This is becoming annoying💯

@cursor_ai kindly look into this issue. https://t.co/UodbnOy3Ng",0,0
anyone else app lang:en -is:retweet,2039743236114415932,2026-04-02T16:34:18.000Z,Just got a VR fitness app  Working out feels like a game. Anyone else tried th🧳is? FitnessTech https://t.co/TpfTV17HIw,0,0
anyone else app lang:en -is:retweet,2039742780864639201,2026-04-02T16:32:30.000Z,"Why does this only happen with this app 😭

Does this happen to anyone else too? https://t.co/VcXkRFOxmH",18,0
anyone else app lang:en -is:retweet,2039740609779433692,2026-04-02T16:23:52.000Z,"Something going on with @MyDoge  wallet.

Missing several of my last tip transactions..

Deleted and reloaded account still nothing...

Anyone else having issues?
 Tried to access support from app but it doesn't open.

@doge100percent 
@MyDoge @MyDogeTip",2,0
anyone else app lang:en -is:retweet,2039737271973286100,2026-04-02T16:10:36.000Z,Anyone else having trouble  with the @screwfix app ?,0,0
anyone else app lang:en -is:retweet,2039734732624372097,2026-04-02T16:00:31.000Z,"Some of y'all need to get off this app and touch some grass. Idols are humans too. They should be afforded the same humanity as anyone else, rather than being treated as subjects for psychological analysis. Stop projecting and don't make your own issues their problem 🙄",5,0
anyone else app lang:en -is:retweet,2039733465206198454,2026-04-02T15:55:29.000Z,"That you don't find someone's post/content appealing doesn't mean anyone else wouldn't..and vice versa. 
Make una dey rest for this app.",0,0
anyone else app lang:en -is:retweet,2039729756245995665,2026-04-02T15:40:44.000Z,"Idk wtf Elon and the Twitter team did by this fucking app keeps randomly crashing on me.

Anyone else having random crashes too?

#ThisXappSucks
#ForeverTwitter",0,0
anyone else app lang:en -is:retweet,2039724932288946578,2026-04-02T15:21:34.000Z,"Has the audio been extremely choppy on the website/ app for anyone else, the past couple days? #fishtanklive",0,0
anyone else app lang:en -is:retweet,2039724652189090199,2026-04-02T15:20:27.000Z,"@Chris_B_LGRW @FireUpPool2 It’s ridiculous what Elon has done to this app, ban you or anyone else for saying something yet I see awful videos that I can’t unsee on this app 😡😡",0,0
anyone else app lang:en -is:retweet,2039723282207801386,2026-04-02T15:15:01.000Z,"@VeganSupremeTM @edgyanimecats I never said anyone owed me anything. But if ur gonna reply to my comment, at least defend what u say. And im not on this app to be grating. Im genuinely trying to see if there is a suitiable, logical argument for why eating animals is wrong. So are u gonna give me that? Else idc",0,0
anyone else app lang:en -is:retweet,2039718933419184582,2026-04-02T14:57:44.000Z,is this app broken for anyone else?,0,0
anyone else app lang:en -is:retweet,2039718146173555021,2026-04-02T14:54:36.000Z,"@VickyEu5 You just called out half of us on this app! 😂
​That feeling is the worst because you can't even ""vawulence"" anyone else, the call is coming from inside the house.",0,0
